,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
300,11577515,"1-[3-[4-[2-(4-methylpiperazin-1-yl)-2-oxoethoxy]phenyl]-4-oxo-1H-indeno[1,2-c]pyrazol-5-yl]-3-morpholin-4-ylurea",CN1CCN(CC1)C(=O)COC2=CC=C(C=C2)C3=NNC4=C3C(=O)C5=C4C=CC=C5NC(=O)NN6CCOCC6,<rdkit.Chem.rdchem.Mol object at 0x7f54fbbd92a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba33060>,0,0.558024985461224,-12.904,-13 : -11
959,21068219,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-4-phenoxybenzamide",C1=CC=C(C=C1)OC2=CC=C(C=C2)C(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0e40>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46c00>,0,0.5309345597220367,-12.899,-13 : -11
2851,155559734,"2-N-(4-aminocyclohexyl)-6-N-[4-(5-bromopyridin-2-yl)oxyphenyl]-9-cyclopentylpurine-2,6-diamine",C1CCC(C1)N2C=NC3=C(N=C(N=C32)NC4CCC(CC4)N)NC5=CC=C(C=C5)OC6=NC=C(C=C6)Br,<rdkit.Chem.rdchem.Mol object at 0x7f54fba29150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7ef10>,0,0.5125401360054982,-12.898,-13 : -11
548,21065723,"2-benzyl-N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]benzamide",C1=CC=C(C=C1)CC2=CC=CC=C2C(=O)NCC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e5690>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3b450>,0,0.6129276961836145,-12.883,-13 : -11
2706,143160816,"chloromethyl 1-[[4-[5-(1,4-oxazocan-4-ylcarbamoylamino)-4-oxo-1H-indeno[1,2-c]pyrazol-3-yl]phenyl]methyl]piperidine-4-carboxylate",C1CCOCCN(C1)NC(=O)NC2=CC=CC3=C2C(=O)C4=C3NN=C4C5=CC=C(C=C5)CN6CCC(CC6)C(=O)OCCl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba24890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba7a650>,0,0.5904120306431513,-12.875,-13 : -11
802,21067681,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-chlorobenzamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)CNC(=O)C5=CC(=CC=C5)Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ec900>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba426c0>,0,0.6293211388065654,-12.873,-13 : -11
1050,21068330,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2,3-dihydro-1,4-benzodioxine-3-carboxamide",C1C(OC2=CC=CC=C2O1)C(=O)NCC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f3610>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba49460>,0,0.6624254188757575,-12.87,-13 : -11
1558,58781237,"1-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-[(1R,2S)-2-phenylcyclopropyl]urea",C1C(C1NC(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl)C6=CC=CC=C6,<rdkit.Chem.rdchem.Mol object at 0x7f54fba01b60>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba57920>,0,0.6236115326655357,-12.866,-13 : -11
531,21065576,"1-Benzhydryl-3-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]urea",C1=CC=C(C=C1)C(C2=CC=CC=C2)NC(=O)NC3=CC=CC(=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e4eb0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3ac70>,0,0.5637473683147621,-12.863,-13 : -11
912,21068145,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-1H-indole-3-carboxamide",C1=CC=C2C(=C1)C(=CN2)C(=O)NC3=CC=C(C=C3)CNC4=CC(=NC5=C(C=NN45)Br)C6=CC=CC=C6Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ef920>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba45770>,0,0.5463034121810532,-12.858,-13 : -11
