,cid,cmpdname,canonicalsmiles,Molecule,Fingerprint,predicted,predicted_proba,min_energy,energy_gps
551,21065732,"2-bromo-N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]benzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)NS(=O)(=O)C5=CC=CC=C5Br)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9e57e0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3b5a0>,0,0.5555506470032867,-12.108,-13 : -11
711,21067558,"N-[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-2-chlorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC(=CC=C4)NS(=O)(=O)C5=CC=CC=C5Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9ea0a0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba3fe60>,0,0.5555506470032867,-12.098,-13 : -11
1019,21068292,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3,5-difluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=CC(=CC(=C5)F)F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2880>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba486d0>,0,0.516736760793065,-12.082,-13 : -11
2404,91517929,"N-[[3-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-3-chloro-2,5-dimethyl-1H-pyrazol-2-ium-4-sulfonamide",CC1=C(C(=[N+](N1)C)Cl)S(=O)(=O)NCC2=CC=CC(=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fba1b4c0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba71310>,0,0.569672131147541,-12.068,-13 : -11
1000,21068267,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-fluorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=CC=CC=C5F)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2030>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47df0>,0,0.5230811565806756,-12.053,-13 : -11
966,21068233,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]benzenesulfonamide",C1=CC=C(C=C1)S(=O)(=O)NC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f1150>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46f10>,0,0.5019286403085824,-12.046,-13 : -11
946,21068192,"N-[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]-3-cyanobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)NS(=O)(=O)C5=CC=CC(=C5)C#N)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f0890>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba46650>,0,0.5675024108003858,-12.039,-13 : -11
1035,21068310,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-4-chlorobenzenesulfonamide",C1=CC=C(C(=C1)C2=NC3=C(C=NN3C(=C2)NCC4=CC=C(C=C4)CNS(=O)(=O)C5=CC=C(C=C5)Cl)Br)Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2f80>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba48dd0>,0,0.516736760793065,-12.03,-13 : -11
1003,21068271,"N-[[4-[[[3-bromo-5-(2-chlorophenyl)pyrazolo[1,5-a]pyrimidin-7-yl]amino]methyl]phenyl]methyl]-2-methylbenzenesulfonamide",CC1=CC=CC=C1S(=O)(=O)NCC2=CC=C(C=C2)CNC3=CC(=NC4=C(C=NN34)Br)C5=CC=CC=C5Cl,<rdkit.Chem.rdchem.Mol object at 0x7f54fb9f2180>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba47f40>,0,0.5558680418265772,-12.013,-13 : -11
2639,137634367,"4-[[4-(cyclohexylmethoxy)-7H-pyrrolo[2,3-d]pyrimidin-2-yl]amino]benzenesulfonamide",C1CCC(CC1)COC2=NC(=NC3=C2C=CN3)NC4=CC=C(C=C4)S(=O)(=O)N,<rdkit.Chem.rdchem.Mol object at 0x7f54fba222d0>,<rdkit.DataStructs.cDataStructs.ExplicitBitVect object at 0x7f54fba78120>,0,0.5498205801484491,-12.012,-13 : -11
